weather_id,region,date_id,time_of_day,temperature_c,precipitation_mm,fog_intensity,weather_condition
32,Amritsar,20230101,00:00:00,33.7,0.2,None,Sunny
33,Navi Mumbai,20230101,00:00:00,40.5,13.7,Low,Foggy
34,Allahabad,20230101,00:00:00,27.6,4.7,Low,Foggy
35,Ranchi,20230101,00:00:00,21.2,0.1,Low,Foggy
36,Howrah,20230101,00:00:00,27.2,4.3,Medium,Foggy
37,Coimbatore,20230101,00:00:00,33.6,8.2,Low,Foggy
38,Jabalpur,20230101,00:00:00,30.4,1.3,None,Sunny
39,Gwalior,20230101,00:00:00,28.0,11.5,High,Foggy
40,Vijayawada,20230101,00:00:00,27.8,1.3,None,Cloudy
41,Jodhpur,20230101,00:00:00,29.1,0.4,None,Sunny
42,Madurai,20230101,00:00:00,28.8,5.4,Medium,Foggy
43,Raipur,20230101,00:00:00,28.2,6.6,None,Rainy
44,Kota,20230101,00:00:00,35.8,6.0,Low,Foggy
45,Guwahati,20230101,00:00:00,31.3,5.5,Low,Foggy
46,Chandigarh,20230101,00:00:00,29.0,6.1,Medium,Foggy
47,Solapur,20230101,00:00:00,35.9,1.9,High,Foggy
48,Hubli–Dharwad,20230101,00:00:00,28.6,3.8,Low,Foggy
49,Mysore,20230101,00:00:00,33.0,7.8,Medium,Foggy
50,Tiruchirappalli,20230101,00:00:00,26.6,6.2,None,Rainy
51,Bareilly,20230101,00:00:00,32.1,0.5,Low,Foggy
52,Aligarh,20230101,00:00:00,26.8,2.2,None,Cloudy
53,Moradabad,20230101,00:00:00,33.6,5.7,Low,Foggy
54,Jalandhar,20230101,00:00:00,29.8,5.9,High,Foggy
55,Bhubaneswar,20230101,00:00:00,33.4,4.7,None,Cloudy
56,Salem,20230101,00:00:00,26.1,6.8,None,Rainy
57,Warangal,20230101,00:00:00,21.5,4.0,Low,Foggy
58,Guntur,20230101,00:00:00,25.3,3.7,None,Cloudy
59,Bhiwandi,20230101,00:00:00,39.8,10.5,None,Rainy
60,Saharanpur,20230101,00:00:00,26.4,2.5,Low,Foggy
61,Gorakhpur,20230101,00:00:00,35.2,2.2,Low,Foggy
62,Bikaner,20230101,00:00:00,26.1,0.5,High,Foggy
63,Amravati,20230101,00:00:00,31.4,1.1,None,Cloudy
64,Noida,20230101,00:00:00,32.9,0.1,None,Sunny
65,Jamshedpur,20230101,00:00:00,31.9,6.4,High,Foggy
66,Bhilai,20230101,00:00:00,29.2,10.2,Medium,Foggy
67,Cuttack,20230101,00:00:00,29.8,4.1,None,Sunny
68,Firozabad,20230101,00:00:00,36.2,1.9,Low,Foggy
69,Kochi,20230101,00:00:00,33.8,7.4,Low,Foggy
70,Nellore,20230101,00:00:00,35.7,8.2,None,Rainy
71,Bhavnagar,20230101,00:00:00,34.4,0.9,Medium,Foggy
72,Dehradun,20230101,00:00:00,34.1,10.0,None,Rainy
73,Durgapur,20230101,00:00:00,24.0,6.9,None,Rainy
74,Asansol,20230101,00:00:00,15.9,9.3,Low,Foggy
75,Rourkela,20230101,00:00:00,37.2,1.7,None,Sunny
76,Nanded,20230101,00:00:00,34.8,1.8,Low,Foggy
77,Kolhapur,20230101,00:00:00,26.8,8.7,Medium,Foggy
78,Ajmer,20230101,00:00:00,34.1,6.7,None,Rainy
79,Akola,20230101,00:00:00,31.3,2.0,Medium,Foggy
80,Gulbarga,20230101,00:00:00,36.7,0.1,Medium,Foggy
81,Jamnagar,20230101,00:00:00,32.1,1.4,Low,Foggy
82,Ujjain,20230101,00:00:00,30.4,11.5,None,Rainy
83,Loni,20230101,00:00:00,38.7,2.0,High,Foggy
84,Siliguri,20230101,00:00:00,28.3,0.7,High,Foggy
85,Jhansi,20230101,00:00:00,22.8,3.3,Low,Foggy
86,Ulhasnagar,20230101,00:00:00,26.5,0.2,Medium,Foggy
87,Nellore,20230101,00:00:00,22.8,12.1,None,Rainy
88,Bilaspur,20230101,00:00:00,25.6,1.6,Medium,Foggy
89,Shimla,20230101,00:00:00,34.3,1.1,None,Cloudy
90,Panipat,20230101,00:00:00,24.8,3.7,Medium,Foggy
91,Bharatpur,20230101,00:00:00,28.1,5.6,None,Rainy
92,Gandhinagar,20230101,00:00:00,22.1,0.8,None,Sunny
93,Pimpri-Chinchwad,20230101,00:00:00,29.6,1.4,None,Sunny
94,Anantapur,20230101,00:00:00,31.6,2.4,Medium,Foggy
95,Dewas,20230101,00:00:00,34.0,0.3,Low,Foggy
96,Karnal,20230101,00:00:00,36.9,1.8,Medium,Foggy
97,Tirunelveli,20230101,00:00:00,32.0,11.4,Low,Foggy
98,Bathinda,20230101,00:00:00,35.0,8.3,Medium,Foggy
99,Rewa,20230101,00:00:00,36.5,7.4,Low,Foggy
100,Satna,20230101,00:00:00,29.5,3.3,None,Sunny
101,Mumbai,20230102,00:00:00,23.8,0.4,High,Foggy
102,Delhi,20230102,00:00:00,25.9,0.0,None,Cloudy
103,Bengaluru,20230102,00:00:00,22.0,4.3,Low,Foggy
104,Hyderabad,20230102,00:00:00,22.0,1.9,High,Foggy
105,Ahmedabad,20230102,00:00:00,33.7,0.1,None,Cloudy
106,Chennai,20230102,00:00:00,38.4,5.4,Medium,Foggy
107,Kolkata,20230102,00:00:00,34.5,0.2,Low,Foggy
108,Pune,20230102,00:00:00,24.8,1.5,None,Cloudy
109,Jaipur,20230102,00:00:00,33.4,0.8,None,Sunny
110,Lucknow,20230102,00:00:00,23.8,0.5,None,Sunny
111,Kanpur,20230102,00:00:00,28.6,9.6,None,Rainy
112,Nagpur,20230102,00:00:00,31.5,12.3,None,Rainy
113,Indore,20230102,00:00:00,27.4,3.3,Low,Foggy
114,Thane,20230102,00:00:00,26.4,0.4,Low,Foggy
115,Bhopal,20230102,00:00:00,25.8,11.1,None,Rainy
116,Visakhapatnam,20230102,00:00:00,30.0,13.5,High,Foggy
117,Patna,20230102,00:00:00,31.5,7.4,Low,Foggy
118,Vadodara,20230102,00:00:00,22.8,2.4,Low,Foggy
119,Ghaziabad,20230102,00:00:00,30.6,4.5,Low,Foggy
120,Ludhiana,20230102,00:00:00,33.4,0.5,None,Sunny
121,Agra,20230102,00:00:00,27.1,2.9,Medium,Foggy
122,Nashik,20230102,00:00:00,33.8,0.4,Low,Foggy
123,Faridabad,20230102,00:00:00,29.1,1.7,Medium,Foggy
124,Meerut,20230102,00:00:00,23.1,18.2,Medium,Foggy
125,Rajkot,20230102,00:00:00,28.5,2.2,None,Cloudy
126,Kalyan,20230102,00:00:00,36.4,8.2,Medium,Foggy
127,Vasai-Virar,20230102,00:00:00,31.2,3.0,Low,Foggy
128,Varanasi,20230102,00:00:00,28.8,2.4,Medium,Foggy
129,Srinagar,20230102,00:00:00,21.7,4.4,None,Sunny
130,Aurangabad,20230102,00:00:00,32.4,1.3,None,Cloudy
131,Dhanbad,20230102,00:00:00,22.5,3.1,Low,Foggy
132,Amritsar,20230102,00:00:00,30.7,3.7,None,Sunny
133,Navi Mumbai,20230102,00:00:00,37.2,13.7,Low,Foggy
134,Allahabad,20230102,00:00:00,28.9,2.0,Low,Foggy
135,Ranchi,20230102,00:00:00,35.5,1.2,None,Sunny
136,Howrah,20230102,00:00:00,28.2,15.4,None,Rainy
137,Coimbatore,20230102,00:00:00,30.2,0.3,None,Cloudy
138,Jabalpur,20230102,00:00:00,31.2,1.0,Medium,Foggy
139,Gwalior,20230102,00:00:00,19.5,1.4,Low,Foggy
140,Vijayawada,20230102,00:00:00,36.9,2.9,Low,Foggy
141,Jodhpur,20230102,00:00:00,28.1,8.1,Low,Foggy
142,Madurai,20230102,00:00:00,27.1,13.3,None,Rainy
143,Raipur,20230102,00:00:00,24.7,6.4,None,Rainy
144,Kota,20230102,00:00:00,20.9,2.5,None,Cloudy
145,Guwahati,20230102,00:00:00,30.2,0.7,Medium,Foggy
146,Chandigarh,20230102,00:00:00,32.0,8.7,Medium,Foggy
147,Solapur,20230102,00:00:00,22.6,1.6,High,Foggy
148,Hubli–Dharwad,20230102,00:00:00,26.4,1.2,Low,Foggy
149,Mysore,20230102,00:00:00,36.6,17.1,None,Rainy
150,Tiruchirappalli,20230102,00:00:00,28.5,11.8,Low,Foggy
151,Bareilly,20230102,00:00:00,36.4,4.3,None,Cloudy
152,Aligarh,20230102,00:00:00,27.5,4.3,None,Sunny
153,Moradabad,20230102,00:00:00,36.6,0.4,None,Cloudy
154,Jalandhar,20230102,00:00:00,38.4,0.2,None,Cloudy
155,Bhubaneswar,20230102,00:00:00,34.2,10.6,Low,Foggy
156,Salem,20230102,00:00:00,31.1,8.5,Medium,Foggy
157,Warangal,20230102,00:00:00,29.7,6.6,Medium,Foggy
158,Guntur,20230102,00:00:00,29.8,0.6,High,Foggy
159,Bhiwandi,20230102,00:00:00,30.8,0.7,Medium,Foggy
160,Saharanpur,20230102,00:00:00,22.0,4.7,Low,Foggy
161,Gorakhpur,20230102,00:00:00,24.2,0.3,Low,Foggy
162,Bikaner,20230102,00:00:00,26.8,18.9,None,Rainy
163,Amravati,20230102,00:00:00,22.3,8.6,High,Foggy
164,Noida,20230102,00:00:00,26.0,1.2,Medium,Foggy
165,Jamshedpur,20230102,00:00:00,34.8,0.9,None,Sunny
166,Bhilai,20230102,00:00:00,30.7,1.1,None,Cloudy
167,Cuttack,20230102,00:00:00,25.3,2.9,High,Foggy
168,Firozabad,20230102,00:00:00,34.1,1.9,None,Sunny
169,Kochi,20230102,00:00:00,33.3,7.3,Medium,Foggy
170,Nellore,20230102,00:00:00,35.4,1.7,Low,Foggy
171,Bhavnagar,20230102,00:00:00,29.0,8.4,Low,Foggy
172,Dehradun,20230102,00:00:00,24.3,4.2,None,Sunny
173,Durgapur,20230102,00:00:00,28.7,1.4,None,Sunny
174,Asansol,20230102,00:00:00,29.3,1.8,None,Cloudy
175,Rourkela,20230102,00:00:00,23.4,6.3,None,Rainy
176,Nanded,20230102,00:00:00,31.6,1.7,None,Cloudy
177,Kolhapur,20230102,00:00:00,29.5,6.7,Medium,Foggy
178,Ajmer,20230102,00:00:00,25.1,5.8,Low,Foggy
179,Akola,20230102,00:00:00,32.6,0.6,None,Sunny
180,Gulbarga,20230102,00:00:00,35.0,8.9,None,Rainy
181,Jamnagar,20230102,00:00:00,32.2,9.6,Medium,Foggy
182,Ujjain,20230102,00:00:00,33.5,0.9,None,Sunny
183,Loni,20230102,00:00:00,29.1,1.1,None,Cloudy
184,Siliguri,20230102,00:00:00,29.9,5.8,Low,Foggy
185,Jhansi,20230102,00:00:00,24.7,3.5,Low,Foggy
186,Ulhasnagar,20230102,00:00:00,32.4,2.5,None,Sunny
187,Nellore,20230102,00:00:00,37.0,3.2,None,Sunny
188,Bilaspur,20230102,00:00:00,24.3,4.1,None,Cloudy
189,Shimla,20230102,00:00:00,29.9,10.5,Low,Foggy
190,Panipat,20230102,00:00:00,28.8,4.0,None,Sunny
191,Bharatpur,20230102,00:00:00,30.8,0.4,None,Sunny
192,Gandhinagar,20230102,00:00:00,28.3,2.6,None,Cloudy
193,Pimpri-Chinchwad,20230102,00:00:00,33.0,9.4,High,Foggy
194,Anantapur,20230102,00:00:00,29.2,5.0,Medium,Foggy
195,Dewas,20230102,00:00:00,26.8,15.6,Medium,Foggy
196,Karnal,20230102,00:00:00,32.8,3.8,None,Sunny
197,Tirunelveli,20230102,00:00:00,30.8,1.4,None,Cloudy
198,Bathinda,20230102,00:00:00,23.3,2.3,None,Cloudy
199,Rewa,20230102,00:00:00,24.7,2.0,Low,Foggy
200,Satna,20230102,00:00:00,32.2,6.5,None,Rainy
201,Mumbai,20230103,00:00:00,19.5,0.9,Low,Foggy
202,Delhi,20230103,00:00:00,31.5,2.2,Low,Foggy
203,Bengaluru,20230103,00:00:00,22.4,2.2,None,Cloudy
204,Hyderabad,20230103,00:00:00,28.4,10.5,Medium,Foggy
205,Ahmedabad,20230103,00:00:00,26.3,26.6,None,Rainy
206,Chennai,20230103,00:00:00,35.4,9.5,None,Rainy
207,Kolkata,20230103,00:00:00,31.8,0.4,High,Foggy
208,Pune,20230103,00:00:00,33.0,2.8,Medium,Foggy
209,Jaipur,20230103,00:00:00,30.5,14.4,Low,Foggy
210,Lucknow,20230103,00:00:00,29.0,14.1,Low,Foggy
211,Kanpur,20230103,00:00:00,30.8,1.8,Medium,Foggy
212,Nagpur,20230103,00:00:00,32.4,13.0,Low,Foggy
213,Indore,20230103,00:00:00,29.5,8.1,None,Rainy
214,Thane,20230103,00:00:00,32.9,9.7,None,Rainy
215,Bhopal,20230103,00:00:00,34.3,10.1,None,Rainy
216,Visakhapatnam,20230103,00:00:00,25.5,9.7,Medium,Foggy
217,Patna,20230103,00:00:00,33.3,6.6,Low,Foggy
218,Vadodara,20230103,00:00:00,41.3,8.6,Medium,Foggy
219,Ghaziabad,20230103,00:00:00,24.0,2.2,High,Foggy
220,Ludhiana,20230103,00:00:00,35.5,9.8,None,Rainy
221,Agra,20230103,00:00:00,36.2,0.3,Medium,Foggy
222,Nashik,20230103,00:00:00,30.8,29.3,None,Rainy
223,Faridabad,20230103,00:00:00,31.5,2.1,Low,Foggy
224,Meerut,20230103,00:00:00,38.1,1.6,Low,Foggy
225,Rajkot,20230103,00:00:00,25.6,0.6,None,Cloudy
226,Kalyan,20230103,00:00:00,29.8,3.3,Medium,Foggy
227,Vasai-Virar,20230103,00:00:00,28.3,2.9,None,Sunny
228,Varanasi,20230103,00:00:00,32.1,6.1,None,Rainy
229,Srinagar,20230103,00:00:00,30.6,7.9,Low,Foggy
230,Aurangabad,20230103,00:00:00,27.6,1.4,Low,Foggy
231,Dhanbad,20230103,00:00:00,30.2,1.5,None,Cloudy
232,Amritsar,20230103,00:00:00,26.6,7.8,None,Rainy
233,Navi Mumbai,20230103,00:00:00,32.9,2.4,High,Foggy
234,Allahabad,20230103,00:00:00,38.6,10.3,Low,Foggy
235,Ranchi,20230103,00:00:00,29.2,0.5,None,Sunny
236,Howrah,20230103,00:00:00,27.2,0.3,None,Sunny
237,Coimbatore,20230103,00:00:00,27.7,3.8,None,Sunny
238,Jabalpur,20230103,00:00:00,29.8,5.8,Medium,Foggy
239,Gwalior,20230103,00:00:00,22.2,1.2,Low,Foggy
240,Vijayawada,20230103,00:00:00,33.1,6.2,None,Rainy
241,Jodhpur,20230103,00:00:00,28.9,1.3,Medium,Foggy
242,Madurai,20230103,00:00:00,30.0,2.0,Low,Foggy
243,Raipur,20230103,00:00:00,38.1,5.5,Medium,Foggy
244,Kota,20230103,00:00:00,30.2,0.2,Medium,Foggy
245,Guwahati,20230103,00:00:00,25.4,5.1,Low,Foggy
246,Chandigarh,20230103,00:00:00,29.1,5.0,High,Foggy
247,Solapur,20230103,00:00:00,30.2,2.8,Low,Foggy
248,Hubli–Dharwad,20230103,00:00:00,32.3,6.4,Low,Foggy
249,Mysore,20230103,00:00:00,33.0,7.8,Low,Foggy
250,Tiruchirappalli,20230103,00:00:00,27.2,2.0,Medium,Foggy
251,Bareilly,20230103,00:00:00,27.8,6.1,Low,Foggy
252,Aligarh,20230103,00:00:00,28.8,6.8,None,Rainy
253,Moradabad,20230103,00:00:00,39.7,2.0,None,Cloudy
254,Jalandhar,20230103,00:00:00,28.0,0.0,Low,Foggy
255,Bhubaneswar,20230103,00:00:00,33.7,6.9,Medium,Foggy
256,Salem,20230103,00:00:00,30.6,4.4,Low,Foggy
257,Warangal,20230103,00:00:00,36.1,5.4,None,Rainy
258,Guntur,20230103,00:00:00,31.3,9.9,None,Rainy
259,Bhiwandi,20230103,00:00:00,33.7,5.3,Low,Foggy
260,Saharanpur,20230103,00:00:00,28.9,0.6,None,Cloudy
261,Gorakhpur,20230103,00:00:00,36.5,3.7,Medium,Foggy
262,Bikaner,20230103,00:00:00,31.1,1.2,None,Sunny
263,Amravati,20230103,00:00:00,24.7,11.0,Low,Foggy
264,Noida,20230103,00:00:00,25.1,2.6,Low,Foggy
265,Jamshedpur,20230103,00:00:00,29.1,8.3,Low,Foggy
266,Bhilai,20230103,00:00:00,40.0,8.4,Low,Foggy
267,Cuttack,20230103,00:00:00,34.7,1.1,Medium,Foggy
268,Firozabad,20230103,00:00:00,27.4,4.9,Medium,Foggy
269,Kochi,20230103,00:00:00,25.3,0.5,Low,Foggy
270,Nellore,20230103,00:00:00,33.6,1.1,Medium,Foggy
271,Bhavnagar,20230103,00:00:00,25.7,7.4,Low,Foggy
272,Dehradun,20230103,00:00:00,33.5,4.9,None,Cloudy
273,Durgapur,20230103,00:00:00,31.1,7.5,Low,Foggy
274,Asansol,20230103,00:00:00,25.8,7.7,High,Foggy
275,Rourkela,20230103,00:00:00,30.8,8.5,Low,Foggy
276,Nanded,20230103,00:00:00,21.2,35.5,Medium,Foggy
277,Kolhapur,20230103,00:00:00,36.4,0.3,Medium,Foggy
278,Ajmer,20230103,00:00:00,33.9,8.2,High,Foggy
279,Akola,20230103,00:00:00,26.3,11.9,None,Rainy
280,Gulbarga,20230103,00:00:00,32.7,0.9,Low,Foggy
281,Jamnagar,20230103,00:00:00,34.6,0.7,None,Cloudy
282,Ujjain,20230103,00:00:00,32.3,7.0,High,Foggy
283,Loni,20230103,00:00:00,26.8,11.5,Low,Foggy
284,Siliguri,20230103,00:00:00,29.9,11.0,Low,Foggy
285,Jhansi,20230103,00:00:00,24.2,5.6,None,Rainy
286,Ulhasnagar,20230103,00:00:00,26.3,8.8,High,Foggy
287,Nellore,20230103,00:00:00,21.3,4.7,None,Cloudy
288,Bilaspur,20230103,00:00:00,36.7,0.5,Low,Foggy
289,Shimla,20230103,00:00:00,28.7,2.2,None,Cloudy
290,Panipat,20230103,00:00:00,26.0,5.5,None,Rainy
291,Bharatpur,20230103,00:00:00,30.1,3.7,None,Cloudy
292,Gandhinagar,20230103,00:00:00,28.1,0.3,None,Sunny
293,Pimpri-Chinchwad,20230103,00:00:00,29.5,13.5,None,Rainy
294,Anantapur,20230103,00:00:00,34.6,9.2,Low,Foggy
295,Dewas,20230103,00:00:00,38.2,2.8,None,Cloudy
296,Karnal,20230103,00:00:00,28.9,1.4,None,Cloudy
297,Tirunelveli,20230103,00:00:00,25.9,5.0,None,Sunny
298,Bathinda,20230103,00:00:00,23.1,13.7,None,Rainy
299,Rewa,20230103,00:00:00,41.5,5.1,None,Rainy
300,Satna,20230103,00:00:00,27.8,2.0,Medium,Foggy
301,Mumbai,20230104,00:00:00,29.7,7.1,Medium,Foggy
302,Delhi,20230104,00:00:00,28.7,5.2,Low,Foggy
303,Bengaluru,20230104,00:00:00,33.2,2.1,Medium,Foggy
304,Hyderabad,20230104,00:00:00,28.5,6.4,Medium,Foggy
305,Ahmedabad,20230104,00:00:00,24.8,0.8,Low,Foggy
306,Chennai,20230104,00:00:00,23.7,2.5,Low,Foggy
307,Kolkata,20230104,00:00:00,25.6,2.3,Low,Foggy
308,Pune,20230104,00:00:00,34.1,6.1,Low,Foggy
309,Jaipur,20230104,00:00:00,40.9,0.9,None,Cloudy
310,Lucknow,20230104,00:00:00,36.5,3.7,None,Sunny
311,Kanpur,20230104,00:00:00,25.9,5.2,None,Rainy
312,Nagpur,20230104,00:00:00,41.0,4.9,Medium,Foggy
313,Indore,20230104,00:00:00,24.7,1.2,None,Sunny
314,Thane,20230104,00:00:00,32.3,5.7,None,Rainy
315,Bhopal,20230104,00:00:00,27.9,2.5,None,Sunny
316,Visakhapatnam,20230104,00:00:00,27.3,1.4,Low,Foggy
317,Patna,20230104,00:00:00,26.0,4.3,Low,Foggy
318,Vadodara,20230104,00:00:00,24.5,0.0,Medium,Foggy
319,Ghaziabad,20230104,00:00:00,35.0,1.2,Low,Foggy
320,Ludhiana,20230104,00:00:00,33.8,7.3,Low,Foggy
321,Agra,20230104,00:00:00,29.6,3.4,Medium,Foggy
322,Nashik,20230104,00:00:00,26.9,1.7,Low,Foggy
323,Faridabad,20230104,00:00:00,26.8,1.0,Low,Foggy
324,Meerut,20230104,00:00:00,30.5,15.2,None,Rainy
325,Rajkot,20230104,00:00:00,32.8,1.2,None,Sunny
326,Kalyan,20230104,00:00:00,30.7,12.5,Medium,Foggy
327,Vasai-Virar,20230104,00:00:00,28.0,1.7,None,Cloudy
328,Varanasi,20230104,00:00:00,17.8,3.5,Low,Foggy
329,Srinagar,20230104,00:00:00,32.1,3.2,None,Cloudy
330,Aurangabad,20230104,00:00:00,26.4,7.7,Low,Foggy
331,Dhanbad,20230104,00:00:00,28.0,1.0,Medium,Foggy
332,Amritsar,20230104,00:00:00,31.0,5.7,Medium,Foggy
333,Navi Mumbai,20230104,00:00:00,33.5,2.4,None,Sunny
334,Allahabad,20230104,00:00:00,26.1,15.6,None,Rainy
335,Ranchi,20230104,00:00:00,38.5,0.7,Medium,Foggy
336,Howrah,20230104,00:00:00,23.6,2.4,Low,Foggy
337,Coimbatore,20230104,00:00:00,34.4,1.7,Medium,Foggy
338,Jabalpur,20230104,00:00:00,42.4,23.8,None,Rainy
339,Gwalior,20230104,00:00:00,25.9,0.7,High,Foggy
340,Vijayawada,20230104,00:00:00,32.0,1.6,High,Foggy
341,Jodhpur,20230104,00:00:00,24.8,3.3,Low,Foggy
342,Madurai,20230104,00:00:00,22.3,6.3,None,Rainy
343,Raipur,20230104,00:00:00,32.6,4.2,None,Cloudy
344,Kota,20230104,00:00:00,25.8,0.5,High,Foggy
345,Guwahati,20230104,00:00:00,27.5,4.1,Medium,Foggy
346,Chandigarh,20230104,00:00:00,37.6,12.4,Medium,Foggy
347,Solapur,20230104,00:00:00,32.5,2.7,None,Cloudy
348,Hubli–Dharwad,20230104,00:00:00,25.0,4.6,None,Cloudy
349,Mysore,20230104,00:00:00,29.2,3.4,Medium,Foggy
350,Tiruchirappalli,20230104,00:00:00,30.1,2.4,Low,Foggy
351,Bareilly,20230104,00:00:00,22.9,5.0,None,Sunny
352,Aligarh,20230104,00:00:00,19.7,0.7,None,Sunny
353,Moradabad,20230104,00:00:00,29.9,2.7,None,Sunny
354,Jalandhar,20230104,00:00:00,35.8,12.1,Medium,Foggy
355,Bhubaneswar,20230104,00:00:00,39.3,2.9,None,Sunny
356,Salem,20230104,00:00:00,35.1,3.5,Medium,Foggy
357,Warangal,20230104,00:00:00,27.6,10.0,Medium,Foggy
358,Guntur,20230104,00:00:00,24.3,4.5,High,Foggy
359,Bhiwandi,20230104,00:00:00,25.6,19.5,Low,Foggy
360,Saharanpur,20230104,00:00:00,28.8,0.1,None,Cloudy
361,Gorakhpur,20230104,00:00:00,25.6,3.4,None,Sunny
362,Bikaner,20230104,00:00:00,34.1,8.3,None,Rainy
363,Amravati,20230104,00:00:00,27.9,2.0,None,Sunny
364,Noida,20230104,00:00:00,34.0,4.8,Medium,Foggy
365,Jamshedpur,20230104,00:00:00,25.8,4.5,Low,Foggy
366,Bhilai,20230104,00:00:00,23.9,1.5,Medium,Foggy
367,Cuttack,20230104,00:00:00,30.2,4.8,None,Cloudy
368,Firozabad,20230104,00:00:00,25.5,4.9,High,Foggy
369,Kochi,20230104,00:00:00,35.0,13.5,Low,Foggy
370,Nellore,20230104,00:00:00,29.4,7.0,Medium,Foggy
371,Bhavnagar,20230104,00:00:00,31.6,3.2,Medium,Foggy
372,Dehradun,20230104,00:00:00,30.9,9.4,Low,Foggy
373,Durgapur,20230104,00:00:00,38.5,8.4,Low,Foggy
374,Asansol,20230104,00:00:00,27.1,4.1,High,Foggy
375,Rourkela,20230104,00:00:00,43.0,0.4,None,Sunny
376,Nanded,20230104,00:00:00,32.3,0.1,Medium,Foggy
377,Kolhapur,20230104,00:00:00,31.4,0.6,Low,Foggy
378,Ajmer,20230104,00:00:00,34.0,0.7,Medium,Foggy
379,Akola,20230104,00:00:00,26.3,3.4,Low,Foggy
380,Gulbarga,20230104,00:00:00,36.4,15.8,None,Rainy
381,Jamnagar,20230104,00:00:00,28.3,9.6,None,Rainy
382,Ujjain,20230104,00:00:00,33.4,2.2,None,Sunny
383,Loni,20230104,00:00:00,25.9,9.1,None,Rainy
384,Siliguri,20230104,00:00:00,36.7,0.2,Low,Foggy
385,Jhansi,20230104,00:00:00,35.6,0.8,Low,Foggy
386,Ulhasnagar,20230104,00:00:00,32.9,1.2,None,Cloudy
387,Nellore,20230104,00:00:00,28.1,5.8,Low,Foggy
388,Bilaspur,20230104,00:00:00,21.7,11.7,None,Rainy
389,Shimla,20230104,00:00:00,37.3,9.5,Low,Foggy
390,Panipat,20230104,00:00:00,34.6,1.0,None,Sunny
391,Bharatpur,20230104,00:00:00,20.0,2.0,None,Sunny
392,Gandhinagar,20230104,00:00:00,28.7,31.1,Low,Foggy
393,Pimpri-Chinchwad,20230104,00:00:00,38.5,2.4,None,Cloudy
394,Anantapur,20230104,00:00:00,34.0,2.4,None,Sunny
395,Dewas,20230104,00:00:00,39.5,3.6,Low,Foggy
396,Karnal,20230104,00:00:00,33.3,10.7,None,Rainy
397,Tirunelveli,20230104,00:00:00,29.4,0.7,High,Foggy
398,Bathinda,20230104,00:00:00,38.7,6.8,Low,Foggy
399,Rewa,20230104,00:00:00,25.9,18.7,Medium,Foggy
400,Satna,20230104,00:00:00,33.8,10.9,Low,Foggy
401,Mumbai,20230105,00:00:00,28.6,3.7,None,Cloudy
402,Delhi,20230105,00:00:00,22.4,0.5,None,Cloudy
403,Bengaluru,20230105,00:00:00,33.7,2.0,High,Foggy
404,Hyderabad,20230105,00:00:00,20.6,2.3,None,Sunny
405,Ahmedabad,20230105,00:00:00,25.7,4.2,None,Sunny
406,Chennai,20230105,00:00:00,29.8,7.5,None,Rainy
407,Kolkata,20230105,00:00:00,32.0,0.5,Medium,Foggy
408,Pune,20230105,00:00:00,29.6,6.1,Low,Foggy
